Country,code,fuel,volatility,cv,big_jumps_pct,mean_price,n_months,group,region
Czech Republic,CZE,Gasoline,0.03833381589646697,0.14835666120405105,0.02702702702702703,1.4618691845594776,112,Deregulated,ECA
Denmark,DNK,Gasoline,0.038270116978465954,0.1273759012645239,0.018018018018018018,1.8980545789609427,112,Deregulated,ECA
Dominican Republic,DOM,Gasoline,0.234398391212544,0.22827314906096444,0.037037037037037035,1.2369757736537978,109,Regulated,LAC
Ecuador,ECU,Gasoline,0.08151503800684404,0.28052736939714307,0.125,0.8114410772258731,113,Deregulated,LAC
"Egypt, Arab Rep.",EGY,Gasoline,0.06654101563505378,0.26136998002470246,0.08181818181818182,0.4752130100661793,111,Regulated,MENA
El Salvador,SLV,Gasoline,0.052463514332788605,0.17611404081359666,0.044642857142857144,0.9413043009513651,113,Regulated,LAC
Estonia,EST,Gasoline,0.0334487589657024,0.15986524499677776,0.0,1.588521356550212,112,Deregulated,ECA
France,FRA,Gasoline,0.03979716629730396,0.12271318285707292,0.05405405405405406,1.750607712458784,112,Deregulated,ECA
Germany,DEU,Gasoline,0.03704323299302593,0.1340254806182343,0.018018018018018018,1.732474491515184,112,Deregulated,ECA
Greece,GRC,Gasoline,0.03294913895483613,0.11330292784443827,0.018018018018018018,1.856124755289794,112,Deregulated,ECA
Grenada,GRD,Gasoline,0.054885551860739505,0.08368786761283101,0.046296296296296294,1.4370230365400034,109,Regulated,LAC
Guatemala,GTM,Gasoline,0.050927722060200305,0.1833689022553328,0.04504504504504504,0.9741596381817433,112,Deregulated,LAC
Honduras,HND,Gasoline,0.04583390477043574,0.11940579530770007,0.05102040816326531,1.080608361959246,99,Regulated,LAC
Hungary,HUN,Gasoline,0.04870234985709893,0.13997677309365297,0.036036036036036036,1.3984515846755268,112,Deregulated,ECA
India,IND,Gasoline,0.02928338645951097,0.10634574959619876,0.0,1.1114626016173244,110,Other,SA
Indonesia,IDN,Gasoline,0.054430286265242225,0.15896972916951077,0.06306306306306306,0.7929275366174829,112,Regulated,EAP
"Iran, Islamic Rep.",IRN,Gasoline,0.04844496915939429,0.1356642518714358,0.018018018018018018,0.32418580487146514,112,Regulated,MENA
Iraq,IRQ,Gasoline,0.06473718479639971,0.1612596187311449,0.10869565217391304,0.49922726185060246,47,,
Ireland,IRL,Gasoline,0.03144109432145069,0.11768787617372425,0.018018018018018018,1.6858016486550795,112,Deregulated,ECA
Israel,ISR,Gasoline,0.03903325019557297,0.10934016911435904,0.02702702702702703,1.7972972529522868,112,Deregulated,MENA
Italy,ITA,Gasoline,0.03378079798255338,0.08984993696488316,0.036036036036036036,1.8255534153286845,112,Deregulated,ECA
Japan,JPN,Gasoline,0.026552580069683782,0.0853515312898814,0.0,1.3518038503123155,112,Deregulated,EAP
Jordan,JOR,Gasoline,0.03381462663943076,0.15024893727135225,0.009009009009009009,1.4084305490364624,112,Regulated,MENA
Kenya,KEN,Gasoline,0.044266827586289526,0.15790429352426524,0.061855670103092786,1.1780809937981964,98,Regulated,SSA
Kyrgyz Republic,KGZ,Gasoline,0.036947224769708874,0.17264077843164946,0.036036036036036036,0.6622797468129729,112,Deregulated,ECA
"Lao, PDR",LAO,Gasoline,0.04659284787537336,0.19487023418656366,0.039603960396039604,1.2631015673026091,102,Regulated,EAP
Latvia,LVA,Gasoline,0.041446780778596294,0.1596848671401718,0.036036036036036036,1.52156179042691,112,Deregulated,ECA
Lebanon,LBN,Gasoline,0.1691782966881856,1.659027673522241,0.17117117117117117,3.8869049804893225,112,Regulated,MENA
Lesotho,LSO,Gasoline,0.07919614997779459,0.21311862672360363,0.16216216216216217,1.013655473873429,75,Regulated,SSA
